score,Action,Adventure,Avant Garde,Award Winning,Boys Love,Comedy,Drama,Ecchi,Fantasy,Girls Love,Gourmet,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
7.77,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0
7.78,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
7.79,4.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
7.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
7.81,4.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7.83,4.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0
7.85,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7.86,4.0,1.0,0.0,2.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,1.0,0.0
7.88,2.0,1.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0
7.91,3.0,2.0,0.0,1.0,2.0,3.0,11.0,1.0,3.0,1.0,1.0,1.0,1.0,9.0,0.0,4.0,0.0,3.0,0.0
7.93,2.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0
7.94,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0
7.96,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
7.97,2.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,4.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,0.0
7.99,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
8.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8.04,1.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0
8.08,3.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
8.12,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0
8.13,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
8.16,1.0,3.0,0.0,2.0,0.0,6.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0
8.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
8.21,2.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0
